File,Q,pedestal,a,b,lead_index1,lead_index2,raise_time,r2
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02095.csv,-5.129167222922e-11,0.0002685213083832,-942078.6483516472,-0.1418608908054711,1624,1638,5.669888661687171e-09,0.9849195018665039
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02110.csv,-3.197914790062746e-11,0.0003560545405189,-597043.2261029372,-0.07586829823307699,1684,1700,6.132734569848093e-09,0.9825067886304487
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02114.csv,-4.0770824895388894e-11,0.0003238273393213,-629649.8044642868,-0.07529130606879553,1701,1716,5.774203129548095e-09,0.949839307327679
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02125.csv,-4.816664338970228e-11,0.0002757983958083,-691757.0203818278,-0.10303687579094022,1632,1650,6.886774656825427e-09,0.8572992872915022
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02130.csv,-6.006248936408337e-11,0.0003726879590818,-743625.263157906,-0.09538075844504929,1680,1698,6.8468442635256066e-09,0.9833240581246497
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02139.csv,-3.5104168722913613e-11,0.0002344228556886,-758486.1625874243,-0.10810723113364085,1644,1656,5.3583077517019725e-09,0.9595352879069575
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02156.csv,-3.2520824931743136e-11,0.000292015970459,-800189.3181818248,-0.134124211404667,1582,1593,4.511778268385774e-09,0.9662043616436778
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02161.csv,-4.045831875770625e-11,0.0003367182477045,-933493.4945054877,-0.16476681137654517,1559,1573,5.066317682983933e-09,0.9702369107030123
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02169.csv,-2.5854163908820863e-11,0.0003220600371257,-325520.7053571412,-0.04130501315672615,1683,1698,7.068625718219867e-09,0.9519141746989562
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02180.csv,-3.8249990316194666e-11,0.0002198686175648,-916921.328671324,-0.13925159533051798,1621,1633,4.1470939492289916e-09,0.9661542297615745
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02184.csv,-3.2624997405541653e-11,0.0003179017045908,-615936.5073529381,-0.09792599651566607,1601,1618,5.624478046545716e-09,0.9379028449413241
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02195.csv,-3.339582641260947e-11,0.0003342232305389,-497159.5017482528,-0.05994830457490584,1698,1710,5.821155130806639e-09,0.9132854733634539
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02202.csv,-4.960414901903267e-11,0.0002660262884231,-851076.2637362586,-0.12885505618002124,1623,1637,5.490484495742616e-09,0.9738067130226877
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02218.csv,-3.0229153270200296e-11,0.0002294328107784,-599888.5178571446,-0.07367801116430475,1692,1707,5.934786452223014e-09,0.9482239232269406
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02230.csv,-3.872915297555217e-11,0.0001885770419161,-1081730.725274723,-0.13637666901168502,1685,1698,4.647668330079174e-09,0.9743661367180779
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02248.csv,-4.937499295631136e-11,0.0003025157922155,-1209206.984265739,-0.17143999519575562,1646,1658,4.439832637116615e-09,0.9687440388747968
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02311.csv,-3.4666665992234916e-11,0.0003957667890219,-740215.2121212233,-0.11858076519300356,1600,1610,3.75108939366515e-09,0.9947001325820538
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02297.csv,-2.856247937135029e-11,0.0003504407753493,-713869.5017482628,-0.10366719062144719,1637,1649,4.772604253208276e-09,0.986148540009818
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02300.csv,-3.1875006926834056e-11,0.0002010521131736,-333059.3627192986,-0.015913369849091332,1880,1899,7.618779036328981e-09,0.8984936652194573
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02353.csv,-5.3208337346569e-11,0.0002672738123752,-1066176.687499984,-0.16418307233526888,1615,1631,5.868778714879052e-09,0.9457763101907635
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02360.csv,-5.227081669473664e-11,0.0003177977501996,-1150568.5909090901,-0.18696949231397808,1594,1605,4.604309766507658e-09,0.9685719565477606
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02371.csv,-3.9500001159210645e-11,0.0003100008478043,-930579.8339160862,-0.1410540677203417,1621,1633,4.163710126769006e-09,0.9888200025524547
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02376.csv,-3.712499119418582e-11,0.0003580297592814,-731026.8223214247,-0.1081445338154404,1630,1645,5.238877275752279e-09,0.9791780081644657
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02409.csv,-4.827082613970808e-11,0.0003202927329341,-1301172.377622378,-0.18867539752847554,1638,1650,4.457188214327756e-09,0.9886691828736218
